"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid","mlbamid"
"Giancarlo Stanton","NYY","OF","20","18","132.0","26","0","1","0","1","0","0","0","0","","","","","",".963","","4949","519317"
"Jose Altuve","HOU","OF","47","44","371.0","58","2","1","1","0","0","0","0","0","","","","","",".984","","5417","514888"
"Mike Trout","LAA","OF","22","22","185.0","46","2","0","0","0","0","0","0","0","","","","","","1.000","","10155","545361"
"Jurickson Profar","ATL","OF","79","79","701.0","164","0","1","1","0","0","0","0","0","","","","","",".994","","10815","595777"
"Christian Yelich","MIL","OF","19","18","153.1","41","1","1","1","0","0","0","0","0","","","","","",".977","","11477","592885"
"Nick Castellanos","PHI","OF","143","138","1208.1","243","4","0","0","0","0","2","0","0","","","","","","1.000","","11737","592206"
"Joc Pederson","TEX","OF","1","0","3.0","1","0","0","0","0","0","0","0","0","","","","","","1.000","","11899","592626"
"George Springer","TOR","OF","67","51","436.2","81","1","1","1","0","0","0","0","0","","","","","",".988","","12856","543807"
"Brandon Nimmo","TEX","OF","155","147","1283.2","258","5","1","1","0","0","2","0","0","","","","","",".996","","12927","607043"
"Javier Baez","DET","OF","53","43","405.0","104","2","0","0","0","0","1","0","0","","","","","","1.000","","12979","595879"
"Teoscar Hernandez","LAD","OF","133","132","1106.0","255","6","2","2","0","0","2","0","0","","","","","",".992","","13066","606192"
"Mookie Betts","LAD","OF","1","0","1.0","1","0","0","0","0","0","0","0","0","","","","","","1.000","","13611","605141"
"Tyrone Taylor","NYM","OF","114","87","810.0","245","8","2","2","0","0","2","0","0","","","","","",".992","","13675","621438"
"Rob Refsnyder","SEA","OF","45","30","256.0","61","2","1","1","0","0","0","0","0","","","","","",".984","","13770","608701"
"Byron Buxton","MIN","OF","118","118","973.0","284","2","2","2","0","0","0","0","0","","","","","",".993","","14161","621439"
"Jorge Soler","LAA","OF","40","39","315.2","55","1","0","0","0","0","0","0","0","","","","","","1.000","","14221","624585"
"Anthony Santander","TOR","OF","24","22","181.0","46","0","0","0","0","0","0","0","0","","","","","","1.000","","14551","623993"
"Mike Yastrzemski","ATL","OF","150","125","1100.2","232","11","1","1","0","0","0","0","0","","","","","",".996","","14854","573262"
"Jake Bauers","MIL","OF","26","23","182.1","34","1","2","1","1","0","0","0","0","","","","","",".946","","15194","641343"
"Jeff McNeil","ATH","OF","51","35","292.1","73","1","1","1","0","0","1","0","0","","","","","",".987","","15362","643446"
"Amed Rosario","NYY","OF","6","1","14.0","3","1","0","0","0","0","0","0","0","","","","","","1.000","","15518","642708"
"Aaron Judge","NYY","OF","95","95","822.1","201","1","1","1","0","0","0","0","0","","","","","",".995","","15640","592450"
"Tyler O'Neill","BAL","OF","39","38","322.0","80","5","2","2","0","0","2","0","0","","","","","",".977","","15711","641933"
"Ryan O'Hearn","PIT","OF","23","18","165.0","31","0","0","0","0","0","0","0","0","","","","","","1.000","","16442","656811"
"Kyle Schwarber","PHI","OF","8","8","66.0","16","0","1","0","1","0","0","0","0","","","","","",".941","","16478","656941"
